arquivo,slug,camel,categoria,decisao,uso
Server-Clock--Streamline-Ultimate.svg,server-clock,serverClock,generico,new,
Server-Remove--Streamline-Ultimate.svg,server-remove,serverRemove,generico,new,
Share-1--Streamline-Ultimate.svg,share,share,generico,new,
Share-External-Link-1--Streamline-Ultimate.svg,share-external-link,shareExternalLink,generico,new,
Shipment--Streamline-Ultimate.svg,shipment,shipment,generico,new,
Shipment-Box--Streamline-Ultimate.svg,shipment-box,shipmentBox,generico,new,
Shipment-Check--Streamline-Ultimate.svg,shipment-check,shipmentCheck,generico,new,
Shipment-Clock--Streamline-Ultimate.svg,shipment-clock,shipmentClock,generico,new,
Shipment-Download--Streamline-Ultimate.svg,shipment-download,shipmentDownload,generico,new,
Shipment-Next--Streamline-Ultimate.svg,shipment-next,shipmentNext,generico,new,
Shipment-Previous--Streamline-Ultimate.svg,shipment-previous,shipmentPrevious,generico,new,
Shipment-Remove--Streamline-Ultimate.svg,shipment-remove,shipmentRemove,generico,new,
Shipment-Search--Streamline-Ultimate.svg,shipment-search,shipmentSearch,generico,new,
Shipment-Subtract--Streamline-Ultimate.svg,shipment-subtract,shipmentSubtract,generico,new,
Shipment-Upload--Streamline-Ultimate.svg,shipment-upload,shipmentUpload,generico,new,
Shipment-Warning--Streamline-Ultimate.svg,shipment-warning,shipmentWarning,generico,new,
Shipping-Logistic-Free-Shipping-Delivery-Container--Streamline-Ultimate.svg,free-shipping,freeShipping,generico,new,Frete grátis
Shop-1--Streamline-Ultimate.svg,shop,shop,generico,new,
Shopping-Bag--Streamline-Ultimate.svg,shopping-bag,shoppingBag,generico,new,
Shopping-Basket--Streamline-Ultimate.svg,shopping-basket,shoppingBasket,generico,new,
Shopping-Cart-1--Streamline-Ultimate.svg,shopping-cart,shoppingCart,generico,new,
Sign-Badge-Circle--Streamline-Ultimate.svg,sign-badge-circle,signBadgeCircle,generico,new,
Sign-Badge-Rectangular-Round--Streamline-Ultimate.svg,badge-sign,badgeSign,generico,new,Selo/assinatura
Signal-Full--Streamline-Ultimate.svg,signal-full,signalFull,conectividade,new,Sinal GSM cheio
Signal-Low--Streamline-Ultimate.svg,signal-low,signalLow,conectividade,new,Sinal GSM baixo
Signal-Medium--Streamline-Ultimate.svg,signal-medium,signalMedium,conectividade,new,Sinal GSM médio
Signal-No--Streamline-Ultimate.svg,signal-none,signalNone,conectividade,new,Sem sinal
Signal-Wave--Streamline-Ultimate.svg,signal,signal,conectividade,new,Sinal genérico
Sim-Card--Streamline-Ultimate.svg,sim-card,simCard,upgrade,upgrade,substitui sim-card
Single-Neutral--Streamline-Ultimate.svg,user,user,upgrade,upgrade,substitui user
Single-Neutral-Actions--Streamline-Ultimate.svg,user-actions,userActions,pessoas,new,Ações de usuário
